track_genre,rows,accuracy,avg_confidence,family
swedish,102,0.6372549019607843,0.4722222222222222,latin_world
alternative,64,0.640625,0.6170200892857143,rock
pop,63,0.6507936507936508,0.530952380952381,pop
idm,128,0.6640625,0.560205078125,electronic
hardstyle,139,0.6762589928057554,0.5042565947242207,electronic
edm,96,0.6770833333333334,0.5525520833333334,electronic
kids,165,0.6787878787878788,0.4896969696969697,mood_context
world-music,156,0.6858974358974359,0.45053418803418804,latin_world
german,115,0.7043478260869566,0.5253115942028985,latin_world
romance,143,0.7062937062937062,0.4962364024864025,mood_context
classical,122,0.7213114754098361,0.5651622267759563,jazz_blues_classical
jazz,79,0.7215189873417721,0.7422995780590718,jazz_blues_classical
electro,87,0.7241379310344828,0.560684067688378,electronic
ska,104,0.7307692307692307,0.4957532051282051,latin_world
new-age,140,0.7357142857142858,0.5035119047619047,ambient_chill
dance,122,0.7377049180327869,0.6138238954785757,electronic
j-dance,131,0.7404580152671756,0.44856870229007634,electronic
latino,65,0.7538461538461538,0.4710769230769231,latin_world
progressive-house,115,0.7565217391304347,0.558623188405797,electronic
honky-tonk,143,0.7692307692307693,0.5779137529137529,acoustic_folk_country
hardcore,130,0.7692307692307693,0.49625801282051285,rock
house,31,0.7741935483870968,0.573521505376344,electronic
pop-film,113,0.7876106194690266,0.45813176007866274,pop
grunge,132,0.7878787878787878,0.4993686868686869,rock
deep-house,155,0.8,0.5729569892473119,electronic
latin,121,0.8016528925619835,0.6220017211987906,latin_world
metal,33,0.8181818181818182,0.5025252525252525,rock
tango,160,0.81875,0.48578124999999994,latin_world
comedy,133,0.8195488721804511,0.8444235588972432,mood_context
study,163,0.8220858895705522,0.5218302658486708,ambient_chill
brazil,135,0.8222222222222222,0.4968827160493827,latin_world
heavy-metal,152,0.8223684210526315,0.5579495614035088,rock
drum-and-bass,143,0.8251748251748252,0.5938228438228439,electronic
dancehall,109,0.8256880733944955,0.470808222528406,latin_world
reggae,36,0.8333333333333334,0.5898671737213405,latin_world
turkish,135,0.8444444444444444,0.5131069958847737,latin_world
sleep,132,0.8712121212121212,0.7344065656565656,ambient_chill
breakbeat,165,0.8727272727272727,0.6408585858585858,electronic
trance,115,0.8782608695652174,0.6895724637681159,electronic
techno,59,0.8813559322033898,0.7479943502824858,electronic
black-metal,141,0.8936170212765957,0.7245567375886525,rock
mpb,120,0.9083333333333333,0.5203472222222222,latin_world
metalcore,99,0.9090909090909091,0.6490740740740741,rock
death-metal,122,0.9262295081967213,0.6976092896174864,rock
sertanejo,147,0.9387755102040817,0.628968253968254,latin_world
detroit-techno,146,0.952054794520548,0.8031392694063927,electronic
samba,95,0.9578947368421052,0.6635087719298245,latin_world
pagode,133,0.9699248120300752,0.7693609022556391,latin_world
grindcore,146,0.9726027397260274,0.8495433789954338,rock
salsa,153,0.9738562091503268,0.649400871459695,latin_world
minimal-techno,129,0.9844961240310077,0.8401808785529716,electronic
chicago-house,142,0.9859154929577465,0.8092136150234742,electronic
forro,156,0.9871794871794872,0.6829059829059829,latin_world
