group,importance
acousticness,0.04739328105606932
danceability,0.04545785026957079
popularity,0.044960968041902985
energy_acoustic_ratio,0.04370340903981335
energy_danceability_score,0.04113026270095133
popularity_energy_score,0.03938775943378167
acoustic_energy_balance,0.038242281293813685
duration_minutes,0.03757952426453877
duration_ms,0.0372202030196307
speechiness,0.036430237228939635
speech_energy_score,0.03602344805400319
dance_valence_score,0.0342725560049619
instrumentalness,0.034078558203218944
valence,0.03343171932442802
energy,0.03313022651109547
acoustic_instrumental_score,0.03277614397134822
valence_energy_score,0.03207231055094344
loudness,0.03175494423190834
loudness_normalized,0.03114292386424143
tempo,0.030670739121514114
tempo_normalized,0.03062000590681357
tempo_energy_score,0.02987962999022082
liveness_energy_score,0.029404323453843948
liveness,0.029052682729327838
popularity_bucket,0.02178207194605772
key,0.01955342303978331
tempo_bucket,0.015075002981241384
instrumentalness_flag,0.013581308309511448
acousticness_bucket,0.012338990880255838
duration_bucket,0.010391057074075033
valence_bucket,0.01034879493970743
major_minor_flag,0.010153837879237848
explicit,0.006919636562476716
energy_bucket,0.006734396299861137
mode,0.005046067368635149
speechiness_tier,0.0047351713387882854
time_signature,0.0035242531134872007
source_dataset,0.0
