confidence_bin,rows,accuracy,avg_confidence,top3_accuracy
"(-0.001, 0.3]",2297,0.2969090117544623,0.258731204470484,0.6804527644754027
"(0.3, 0.4]",2955,0.4213197969543147,0.352845497143893,0.8077834179357022
"(0.4, 0.5]",2282,0.5534618755477652,0.450905633981609,0.8606485539000877
"(0.5, 0.6]",1684,0.6876484560570071,0.5520684288164989,0.8966745843230404
"(0.6, 0.7]",1348,0.8256676557863502,0.6515853586736376,0.9369436201780416
"(0.7, 0.8]",927,0.8791801510248112,0.7525146972369194,0.9633225458468176
"(0.8, 0.9]",825,0.9236363636363636,0.8547114838202403,0.9672727272727273
"(0.9, 1.0]",1130,0.9858407079646018,0.9672403634102592,0.995575221238938
